"","TCRScore","AllProbes","AlphaProbes","BetaProbes"
"14169.RCC",3.36498053785908,95,42,41
"14186.RCC",3.41817194222237,98,43,43
"14190.RCC",3.44980103430444,90,40,41
"14192_44.RCC",3.37742058532847,94,40,42
"14193_43.RCC",3.20387386286442,94,40,42
"14197_21.RCC",3.31808595733945,98,42,43
"14205_21.RCC",3.38110927966152,97,42,43
"14208.RCC",3.34284688316864,95,41,42
"14209.RCC",3.34213833261954,94,41,42
"14210.RCC",3.23935906955245,94,41,41
"14211.RCC",3.30234531931437,98,42,43
"14249.RCC",3.32753223242577,98,43,42
"14279.RCC",3.41831917497893,94,41,41
"14284_22.RCC",3.37170327265783,91,40,39
"14300 Healthy.RCC",3.38602640238733,89,40,38
"14329 Healthy.RCC",3.21919498138821,94,40,42
"14335_22.RCC",3.28673670384414,96,41,43
"14336 Healthy.RCC",3.31069476934914,89,39,40
"14338.RCC",3.29968943575786,97,41,44
"14359 Healthy.RCC",3.32913071703971,89,39,39
"14361.RCC",3.34993037172907,97,41,44
"14362_21.RCC",3.35604612870893,96,42,42
"14381.RCC",3.28938876452529,94,42,40
"14386 Healthy.RCC",3.45314396479258,91,40,40
"14389_33.RCC",3.32214775707401,94,41,41
"14398_22.RCC",3.3341582351159,95,41,42
"14402_44.RCC",3.36787918480667,97,42,42
"14411_22.RCC",3.29721635790104,95,42,41
"14414_22.RCC",3.37206396855564,93,40,41
"14421_22.RCC",3.33518020059119,95,41,42
"14424 Healthy.RCC",3.43964095670301,95,41,42
"14433.RCC",3.20225501286822,91,40,40
"14435 Healthy.RCC",3.27707032662282,96,41,42
"14442_22.RCC",3.23151954736532,91,40,39
"14443 Healthy.RCC",3.35034405201884,96,42,42
"14470_33.RCC",3.23662883468088,92,41,40
"14480_54.RCC",3.33694044882884,94,41,42
"14481_32.RCC",3.37234257569548,93,40,41
"14482_22.RCC",3.33567842076851,95,41,42
"14511.RCC",3.39765208553741,91,41,40
"14540_33.RCC",3.41017467003963,92,40,41
"14548 Healthy.RCC",3.21562709092411,88,38,39
"14554_43.RCC",3.24754922371841,75,34,31
"14556_22.RCC",3.24238530246319,94,41,41
"14562_44.RCC",3.33234863126433,90,40,39
"14575_55.RCC",3.2598902768474,80,37,34
"14583.RCC",3.10165420925779,54,25,20
"14589 Healthy.RCC",3.33759393909629,87,38,38
"14594_55.RCC",3.42569382385737,80,36,35
"14605 Healthy.RCC",3.27696652762447,87,38,38
"14611_33.RCC",3.34821055544822,79,37,32
"14621_22.RCC",3.32302234178811,83,37,36
"14622.RCC",3.25835340231428,78,37,31
"14637_55.RCC",3.22576111926129,71,32,29
"14639_22.RCC",3.3726267860478,92,40,41
"14649_22.RCC",3.28787276476963,93,41,41
"14653 Healthy.RCC",3.2610162093745,94,41,41
"14664 Healthy.RCC",3.41807115187684,76,36,31
"14669_33.RCC",3.36390387124151,87,38,38
"14672 Healthy.RCC",3.34558526897288,82,37,35
"14685_22.RCC",3.43754088360555,93,41,42
"14704 Healthy.RCC",3.38987520257582,87,38,39
"14721 Healthy.RCC",3.51726848162802,89,39,38
"14755 Healthy.RCC",3.24266159562696,89,39,38
"14757_22.RCC",3.18881216022636,73,34,30
"14770 Healthy.RCC",3.22562531651644,87,38,38
"14788 Healthy.RCC",3.29026215470475,83,38,37
"14817_21.RCC",3.27566955110425,93,40,41
"14843 Healthy.RCC",3.33405225856016,67,31,27
"14866 Healthy.RCC",3.16915719640997,48,22,19
"14893 Healthy.RCC",3.32171485451718,88,40,37
"14906 Healthy.RCC",3.45433760744099,79,36,34
"14959 Healthy.RCC",3.38362755874693,93,40,41
"14972 Healthy.RCC",3.40035520950283,85,37,38
"14990_55.RCC",3.32969368891496,93,40,42
"14991_33.RCC",3.39338956048961,96,41,42
"15006_44.RCC",3.35205302605882,93,39,42
"15021_33.RCC",3.3735978403104,88,39,39
"15027 Healthy.RCC",3.38824468419648,95,42,42
"15038 Healthy.RCC",3.32591533420298,88,38,40
"15071 Healthy.RCC",3.36058700053481,90,40,39
"15080 Healthy.RCC",3.38557361269377,85,39,36
"15110 Healthy.RCC",3.36535575730826,94,42,39
"15124 Healthy.RCC",3.26327037915002,93,41,40
"15136 Healthy.RCC",3.37501300533596,90,40,39
"15169 Healthy.RCC",3.30098358648618,95,41,41
"15173 Healthy.RCC",3.38203150223873,90,40,40
"15213 Healthy.RCC",3.395170030979,91,41,39
"15244 Healthy.RCC",3.30087969324695,96,42,41
"15277 Healthy.RCC",3.36875082461627,84,39,36
"15298 Healthy.RCC",3.43374848109778,94,41,41
"15337_22.RCC",3.256926025282,98,42,43
"15349 Healthy.RCC",3.4025454357944,93,41,41
"15375 Healthy.RCC",3.38261214279835,93,41,40
"31063_43.RCC",3.5815874845042,93,41,39
"31097_22.RCC",3.31808301959964,92,39,42
"31172_22.RCC",3.26348747589627,88,37,39
"31193_22.RCC",3.42229737190816,102,45,44
"31196_22.RCC",3.49860063616264,99,43,43
"31260_22.RCC",3.36950842168176,93,41,41
"31306_54.RCC",3.39402834440768,95,41,42
"31309_32.RCC",3.31716577607743,97,42,42
"31449_44.RCC",3.4325571966697,98,43,43
"31504_22.RCC",3.39159720241274,84,39,35
"31514_22.RCC",3.35588156317939,90,40,39
"31540_33.RCC",3.38075802789756,94,41,41
"31552_33.RCC",3.34379505754915,78,37,31
"31602_22.RCC",3.14395522470151,91,40,39
"31643_22.RCC",3.12820197202955,95,42,41
"47511.RCC",3.27513085274442,91,39,40
"47513.RCC",3.30802686562116,87,39,38
"47529_33.RCC",3.12896739231084,93,41,39
"47614_22.RCC",3.41675838318223,97,42,43
"47750_22.RCC",3.20436170029968,87,40,37
