"","CodeClass","Name","Accession"
"BCL2","Endogenous","BCL2","NM_000657.2"
"JAML","Endogenous","JAML","NM_153206.2"
"NFKB1","Endogenous","NFKB1","NM_003998.2"
"PLCG1","Endogenous","PLCG1","NM_002660.2"
"IL16","Endogenous","IL16","NM_004513.4"
"IFNL4","Endogenous","IFNL4","NM_001276254.2"
"CEBPB","Endogenous","CEBPB","NM_005194.2"
"TBX21","Endogenous","TBX21","NM_013351.1"
"CXCR6","Endogenous","CXCR6","NM_006564.1"
"PLEKHA1","Endogenous","PLEKHA1","NM_001001974.1"
"HLA-B","Endogenous","HLA-B","NM_005514.6"
"IFNAR1","Endogenous","IFNAR1","NM_000629.2"
"CXCL8","Endogenous","CXCL8","NM_000584.3"
"ALOX5AP","Endogenous","ALOX5AP","NM_001629.2"
"PLEK","Endogenous","PLEK","NM_002664.2"
"NFE2L2","Endogenous","NFE2L2","NM_006164.3"
"LTBR","Endogenous","LTBR","XM_006718983.2"
"IL10RA","Endogenous","IL10RA","NM_001558.2"
"LILRA5","Endogenous","LILRA5","NM_181879.2"
"FASLG","Endogenous","FASLG","NM_000639.1"
"ICAM3","Endogenous","ICAM3","NM_002162.3"
"CCL13","Endogenous","CCL13","NM_005408.2"
"TLR5","Endogenous","TLR5","NM_003268.5"
"PARP9","Endogenous","PARP9","NM_001146102.1"
"CD3G","Endogenous","CD3G","NM_000073.2"
"DERL1","Endogenous","DERL1","NM_024295.6"
"SOD2","Endogenous","SOD2","NM_000636.2"
"RAC2","Endogenous","RAC2","NM_002872.4"
"CCL23","Endogenous","CCL23","NM_005064.3"
"LIF","Endogenous","LIF","NM_002309.4"
"NOD2","Endogenous","NOD2","NM_001293557.1"
"EOMES","Endogenous","EOMES","NM_005442.2"
"MAFB","Endogenous","MAFB","NM_005461.4"
"CCL27","Endogenous","CCL27","NM_006664.2"
"SSR1","Endogenous","SSR1","NM_003144.5"
"NFATC1","Endogenous","NFATC1","NM_172389.1"
"TRIM21","Endogenous","TRIM21","NM_003141.3"
"IL5","Endogenous","IL5","NM_000879.2"
"IL2RG","Endogenous","IL2RG","NM_000206.1"
"DDAH2","Endogenous","DDAH2","NM_013974.1"
"GZMA","Endogenous","GZMA","NM_006144.2"
"DTX3L","Endogenous","DTX3L","NM_138287.3"
"NAE1","Endogenous","NAE1","NM_001018159.1"
"ATG3","Endogenous","ATG3","NM_022488.3"
"ATF2","Endogenous","ATF2","NM_001256091.1"
"RNF31","Endogenous","RNF31","NM_017999.4"
"IL20","Endogenous","IL20","NM_018724.3"
"VSIR","Endogenous","VSIR","NM_022153.1"
"GNLY","Endogenous","GNLY","NM_006433.2"
"IL1RN","Endogenous","IL1RN","NM_000577.4"
"ITGAL","Endogenous","ITGAL","NM_002209.2"
"GZMB","Endogenous","GZMB","NM_004131.4"
"TMPRSS2","Endogenous","TMPRSS2","NM_005656.3"
"SEM1","Endogenous","SEM1","NM_006304.1"
"IL10RB","Endogenous","IL10RB","NM_000628.4"
"CCR6","Endogenous","CCR6","NM_031409.3"
"DEFB103A/B","Endogenous","DEFB103A/B","NM_001081551.4"
"NOS2","Endogenous","NOS2","NM_000625.4"
"SMAD4","Endogenous","SMAD4","NM_005359.3"
"CD36","Endogenous","CD36","NM_001001548.2"
"RELA","Endogenous","RELA","NM_021975.4"
"GUCY1A1","Endogenous","GUCY1A1","NM_001130682.1"
