"gene","0-90d CCD/HD log2 fold-change","0-90d CCD/HD p-value","0-90d CCD/HD FDR","90-120d CCD/HD log2 fold-change","90-120d CCD/HD p-value","90-120d CCD/HD FDR","120-150d CCD/HD log2 fold-change","120-150d CCD/HD p-value","120-150d CCD/HD FDR","150-360d CCD/HD log2 fold-change","150-360d CCD/HD p-value","150-360d CCD/HD FDR"
"APP",-0.0172857612632843,0.74443282235526,0.849681902883654,-0.0314135759623518,0.542536274896374,0.683030196245761,-0.123807742546313,0.0425491744158656,0.0954242171251793,0.0024504827332591,0.962256749548784,0.980005885904098
"PLAT",-0.175287469579267,0.545099692533649,0.693023418244443,-0.316825364558632,0.315420716423073,0.474358392597346,-0.304424673152973,0.347584259229252,0.464069014799411,-0.10482328527445,0.697689958799348,0.842678653362337
"HLA.DQB1",0.652968851701216,0.216926736799144,0.361388723158919,0.571251521219159,0.323604240404906,0.480305191698618,0.556417119569524,0.307908895531527,0.426547627680771,0.443073548497441,0.45176524571289,0.674094201686851
"IL5RA",-0.252054283181471,0.0872182565526656,0.194854659870551,-0.331078271866583,0.046315288349077,0.138766348425723,-0.724869610262491,0.000123333615853952,0.00098285448510417,-0.134703341413999,0.411487760843258,0.645487584297776
"FCRL2",0.435591398300008,0.000626536448581373,0.00712224521696179,0.343128510925577,0.00970394090863113,0.0481518339453625,0.556975512365183,0.000168029645157866,0.00122534826138708,0.32537254451017,0.0116409252656581,0.0750573454763565
"RPS6KA1",-0.137573941906205,0.0129864640999761,0.0517450347901112,-0.126781608442971,0.0444033911744034,0.135806846779583,-0.0902320335117523,0.107787373410426,0.197439904375021,0.0443860437180568,0.372795218416907,0.606675165971094
"CXCL17",0.0989984109262186,0.357600870204279,0.5081350600513,0.0515590566897195,0.662931336620484,0.767134615580291,0.096763433190079,0.265983720037352,0.385751248759612,0.00264163996752329,0.976689401906005,0.98551844437638
"CASP10",0.00744335994340621,0.871595864861923,0.935390662477765,-0.0348994733026578,0.399858594452587,0.56096314611951,-0.00404641787989961,0.921869874139314,0.950140550279586,0.0713288982875293,0.0561561287978086,0.203897041830981
"ETS1",0.0655765608402709,0.330583024450638,0.483063663327681,0.0696880971022192,0.320052352388627,0.480305191698618,0.0955774108165028,0.151174484182407,0.255706512632387,0.096536140458395,0.151512778475738,0.371928324426302
"TLR4",0.0217506117830728,0.841686086369498,0.921562811279918,-0.0434291720398245,0.694755961872583,0.788102596736659,-0.0476366015623418,0.649036387505736,0.741895274066293,0.092431168758089,0.32167426161612,0.561824215695109
