"gene","CCD/HD log2 fold-change","CCD/HD p-value","CCD/HD FDR","0-90d CCD/HD log2 fold-change","0-90d CCD/HD p-value","0-90d CCD/HD FDR","90-120d CCD/HD log2 fold-change","90-120d CCD/HD p-value","90-120d CCD/HD FDR","120-150d CCD/HD log2 fold-change","120-150d CCD/HD p-value","120-150d CCD/HD FDR","150-360d CCD/HD log2 fold-change","150-360d CCD/HD p-value","150-360d CCD/HD FDR","time log2 fold-change","time p-value","time FDR","moderate/mild log2 fold change","moderate/mild p-value","moderate/mild fdr","severe/mild log2 fold change","severe/mild p-value","severe/mild fdr","MILD/healthy log2 fold change","MILD/healthy p-value","MILD/healthy FDR","MODERATE/healthy log2 fold change","MODERATE/healthy p-value","MODERATE/healthy FDR","SEVERE/healthy log2 fold change","SEVERE/healthy p-value","SEVERE/healthy FDR","sex M/F log2 fold-change","sex p-value","sex FDR","Age log2 fold change per year","Age p-value","Age FDR","Race p-value","Race FDR","neutralizing ab > 0 log2 fold-change","neutralizing ab > 0 p-value","neutralizing ab > 0 FDR","ortho ab > 12 log2 fold-change","ortho ab > 12 p-value","ortho ab > 12 FDR","TCR log2 fold-change","TCR p-value","TCR FDR"
"NFKB2",0.497358848763605,4.23200067754599e-07,1.5577792970205e-05,0.318846262221791,0.00108078792314991,0.00938706814151553,0.662650780350742,2.83814676524811e-08,5.48471862384197e-06,0.751875570767061,3.0478705310469e-10,1.17800196024963e-07,0.329976310555766,0.000469057593379403,0.0129493399886528,-7.46925533770949e-05,0.927402212256045,0.970070243672426,-0.0342952563580651,0.852656387128124,0.996217677044312,0.150958905791168,0.646495832681139,0.999207297401817,0.487620984662146,2.8672723876152e-07,1.39392998403574e-05,0.507142441170253,1.64297960798873e-07,8.47124644053507e-06,0.503413265157535,2.17729286040936e-07,8.85814411103387e-06,-0.0149861036462106,0.811873184400449,0.877731428729437,0.00213082806434422,0.31878768751463,0.621519727121685,0.000321823511605984,0.00280542198729579,-0.139076661084076,0.12617207503236,0.674887820518619,-0.00998868884155465,0.891553329632156,0.99915309616834,1.30081815429625,0.00167594594474709,0.0106189034040123
"DYSF",-0.326752196296281,0.00113353212885339,0.00604289886623222,-0.312058189530737,0.00240595454208533,0.0160327832847583,-0.308735940299507,0.0122719224188067,0.0554748305832606,-0.347748132775486,0.00269149708842503,0.0106149349456763,-0.141528364700838,0.145466438968072,0.363901480007508,0.00164345214048388,0.0448938212042487,0.123497949433752,-0.214762006000599,0.264980227721106,0.996217677044312,0.221155575043551,0.518906398870891,0.999207297401817,-0.31905658654063,0.000763172719657822,0.00489767989100049,-0.322298541004225,0.00146101747313352,0.00800969153710788,-0.31769488315295,0.00137077686916683,0.00674911159150293,-0.201092751421688,0.00157477115611631,0.00839515933570969,0.0020025431944335,0.35780799739634,0.64389390808078,0.0195466983502199,0.0493078590200636,-0.0246839230123148,0.785930862821564,0.944828237886577,0.0536301163736472,0.500240572647463,0.998800064188085,0.192667117754815,0.660680875422923,0.806803027965117
"TNF",0.397958837674511,2.54907883203088e-05,0.000323022612649159,0.3556288137267,0.000182813258160628,0.00300669465017373,0.529654462173469,0.000126840366263555,0.00208611921535591,0.45416493189775,7.08539252601774e-05,0.00065202481221568,0.126657158752429,0.130989699897876,0.337499334889401,-0.0020400866926088,0.0147751151054656,0.0557129950074387,0.0340678315885507,0.847275876651628,0.996217677044312,0.766497644062528,0.0160220778347525,0.999207297401817,0.368362561600109,0.000158170532813583,0.0014401186558755,0.398702505284747,1.44595473918362e-05,0.000240189029016932,0.409581928500437,1.59128521529853e-05,0.000227002991620545,0.120693531909028,0.0663804923941214,0.13538818105714,0.00544595528298243,0.0145399133051191,0.0906399434262668,4.18422444458757e-05,0.000951295734019469,0.0203803141275937,0.824046030421251,0.957338429537803,0.0326022252912817,0.676816782692849,0.998800064188085,2.36410036719331,5.53880363347538e-08,8.68211459511942e-06
"TXN",-0.254649674920605,0.0027952993134402,0.0123472363959387,-0.222970863360906,0.0163501726071559,0.0609978567238675,-0.182270480918128,0.0856427324519643,0.207915355879616,-0.398406387695149,0.000351375957535702,0.00213868988326848,-0.195457892208372,0.0513154797550206,0.194951784513743,-0.000305820462493095,0.652463662240581,0.796768421661878,-0.0552653665022462,0.720143070712643,0.996217677044312,0.0612091593365714,0.823771000614441,0.999207297401817,-0.280680356224259,0.00053393679749244,0.00362046617948821,-0.254139393989453,0.00269737909195819,0.0121934154273899,-0.268489051225351,0.00185683624951711,0.00867431565644415,-0.130355031237656,0.0167329179822266,0.0505255687510201,0.000409009588691455,0.825910625386098,0.937957719221877,0.199151066439684,0.268737805644609,-0.117048647624857,0.124375734973132,0.674887820518619,0.00442599116509285,0.9468306141372,0.99915309616834,0.259806367428297,0.476993254415128,0.693074785080628
"TCIRG1",-0.019148207155749,0.728314207553183,0.819486000638444,-0.0318010855540339,0.614098722680177,0.748735508882928,-0.0420318074071352,0.517289699988453,0.662028043197143,0.0861797978964356,0.199989968840563,0.316139562195819,-0.0446427226274979,0.50019300818946,0.713374899133677,0.000455449132286336,0.277756285869781,0.464730755362209,-7.93053062340778e-05,0.999378135303063,0.999378135303063,0.0586043435712479,0.746586421840404,0.999207297401817,-0.0255778675436881,0.624810335123156,0.739629998545482,-0.00411544752308408,0.940461710574658,0.955291593001591,-0.0181085171293386,0.739909018970458,0.826810606658959,0.0228471415742648,0.50668205879496,0.640378131752063,0.00257120974605095,0.0272625103509522,0.140492803341907,0.793983691440671,0.824931980488762,-0.0249735802087991,0.598787660011741,0.874977053287477,0.0119061777587403,0.786636509002197,0.998800064188085,0.115077595060738,0.614064827439148,0.784582002661919
"CXCL10",-0.252810894517555,0.0347136144676511,0.0860052050753023,-0.343246342473237,0.0109131710647921,0.045548619902465,-0.162400988865989,0.222746548291974,0.386060721591246,-0.302557607841971,0.0330038247339041,0.0794765000601491,0.0482835187001561,0.730773109305425,0.863742528276901,0.00265978829581548,0.00128780078890084,0.010055252624448,0.208753321389541,0.343408393241217,0.996217677044312,0.594348177709945,0.130975688179522,0.999207297401817,-0.190474280098727,0.0851193800731365,0.17452859627728,-0.244357408534376,0.0433639446548876,0.104100401298845,-0.251280800398224,0.0341227164070863,0.0842711175165423,-0.158387552076859,0.0312201191225602,0.0799110996084075,0.00275513707857217,0.271345543971147,0.582639181915823,0.569093215775616,0.631146421512986,0.0117801864336525,0.906925023193861,0.97262112847598,0.0697786783336975,0.475442819459183,0.998800064188085,0.625533834492043,0.174361735707481,0.370463961159212
"ACKR4",-0.401981139533761,1.60102595070346e-06,4.95037223957511e-05,-0.453415326336937,3.62170517094046e-06,0.000210923234494213,-0.369574899385809,0.00102441656566422,0.00902357014716259,-0.35850630888368,0.00122100802373376,0.00558484735116092,-0.388120912999116,0.000141239404006722,0.00544587189490096,0.000425071361542789,0.55822689128317,0.722796293068493,-0.0397463251582345,0.790155157572139,0.996217677044312,0.0149869159370995,0.955092181793248,0.999207297401817,-0.392109116545644,8.70572778943893e-06,0.000192272216606751,-0.379944074034077,4.32863138186517e-06,0.000104575466379998,-0.403246474638997,9.88825477412531e-07,3.05744837615954e-05,0.108565185770824,0.0616530903279381,0.129154034752022,0.00211447739743777,0.284914230474212,0.590452279240122,0.0147003753544622,0.0391841039620666,0.0147788741178137,0.859941385100005,0.959989259663981,-0.0295719019144294,0.659214439055915,0.998800064188085,1.98556713377601,1.48894580817854e-07,1.15095510972201e-05
"IL17RE",0.0115935868272466,0.892019477373352,0.934323924132251,-0.0524553217281671,0.606898468775761,0.743474669356044,0.0485806641862264,0.63926512999275,0.756711290684338,0.116113203049758,0.252851437564812,0.373717325502103,-0.0512447579402269,0.627463874711912,0.804360821148106,-0.000108364489531675,0.878051350420694,0.934894895144898,0.318178747021625,0.0427396725650293,0.839285857824533,-0.0471826690451606,0.865198372503087,0.999207297401817,-0.0134689601243013,0.872651081671628,0.915263966054867,0.0291777066746533,0.731047797983397,0.821366203257509,0.00794181432666527,0.925315561141404,0.958805534533921,0.132494734694864,0.0229575030425247,0.0657264809328576,-0.00741409415975672,0.000160753655247179,0.00286276458236961,0.000380440976653618,0.0030955881574026,0.112355350083214,0.153183640462213,0.70482710760292,0.0454170961020811,0.51007722438264,0.998800064188085,0.920735405938373,0.0110013342094601,0.0452342092761313
"CD59",-0.0585092894505451,0.283425321414258,0.411296858512361,-0.0395340043711117,0.533795007760394,0.682022381816172,-0.0497546940624486,0.452858392737483,0.605460096970502,-0.0980617117383596,0.157423980816363,0.262260209420364,-0.0242875363225942,0.724908431474577,0.860759166712516,7.27909064167404e-05,0.859515153337243,0.927940242359901,-0.0177079235600967,0.857973588852116,0.996217677044312,0.19180638133609,0.27762509727168,0.999207297401817,-0.0737392135414798,0.171944903466146,0.285145208571285,-0.0646995420556253,0.228637589083644,0.357766915711857,-0.0615105431191854,0.257592567225076,0.380724769531518,-0.125976337412903,0.000548435953746977,0.00371878063374047,0.00136497575255741,0.274573415255945,0.584697658382494,0.00132943423742686,0.00772671177090948,-0.0808082405110237,0.0899642222586631,0.656442068479941,-0.0106541609030337,0.814913397265241,0.99915309616834,0.12397290776034,0.590220884860051,0.769377308594973
"NFAT5",-0.147794878784644,0.000166562244857958,0.00143058461416891,-0.137405222238547,0.000945467559947096,0.00902279535603833,-0.169398747011224,0.000303153271036454,0.00395008991773376,-0.129371865077694,0.00638080836358159,0.0207242221220528,-0.0754280449692706,0.103255354984242,0.288145810118482,0.000737191194595579,0.0274816399249588,0.0867073782122171,-0.0334789832987034,0.654714536988244,0.996217677044312,-0.0576294223935556,0.665734962549344,0.999207297401817,-0.130432467408968,0.000882858952039902,0.00524961515328342,-0.137696039093338,0.000421256683328732,0.00304328426367392,-0.149545776222039,0.000133709602700334,0.00116132048188043,-0.0534538402506203,0.0415604365318344,0.0988498998126401,-0.00046371649421792,0.603938146300009,0.821560170255041,0.000156068798669924,0.00197772428478445,-0.0185738950678599,0.635871406294106,0.88891109634183,0.00404368223672786,0.903056030160353,0.99915309616834,-0.00664748730793739,0.970696417654006,0.987300435324404
"MS4A4A",0.0459971522548532,0.648449638116005,0.760964539428204,-0.0623350155324732,0.606029581371139,0.743474669356044,0.0386367940323521,0.721620467139914,0.804924417170496,0.109165184635761,0.335011344024559,0.454126674864012,0.0992823546963251,0.373868014067713,0.607142804357861,0.0018571595133955,0.00506178595884607,0.0271719482374168,0.217511633015649,0.241680375988995,0.996217677044312,0.303883546819047,0.358252083587139,0.999207297401817,0.0261715914949725,0.777426025579507,0.852993952434695,0.0660866744488535,0.502218054524905,0.624139157793812,0.0524298450804193,0.598458707507195,0.713881196189449,-0.00441889814692964,0.942077015124319,0.968487343749577,0.0069345628238884,0.000703556787670152,0.00849764682607856,0.488975823928845,0.557490135541294,0.0189203779420009,0.812870646712036,0.957338429537803,-0.0500220145978109,0.525821756686335,0.998800064188085,-0.748331725607999,0.0427220666557136,0.133161925503495
"CSF3R",0.0360429550861482,0.664604346879425,0.771119175085732,-0.026851201256342,0.763547359358165,0.862897819859447,-0.022430845080672,0.79742565077312,0.85612503895503,0.27621840225067,0.00420804943854238,0.0147448732716531,0.016552916868633,0.840965815600747,0.92866653637054,0.00166911223279493,0.00523893908968448,0.0276750175744546,0.123289939708635,0.438140165429272,0.996217677044312,-0.0212147183905319,0.940261917575399,0.999207297401817,0.0385952110315623,0.612594210822908,0.727396812543945,0.0589015378088552,0.47381055929995,0.599154524468464,0.0351874688411112,0.668433397929287,0.770043243814216,-0.0387595701864314,0.437092197503742,0.571695886075114,0.00279794262524972,0.098085868062883,0.329653808750472,0.756375372297923,0.793321794825365,-0.101917921789854,0.146404931072426,0.70292553862724,0.0428120185743921,0.519102070825996,0.998800064188085,0.099731816470869,0.76194323530591,0.867755254284025
"C3AR1",0.0164098870898303,0.891033031069713,0.934323924132251,-0.0179786079260711,0.901053108501117,0.950223810192856,0.0465192166069248,0.75702330017235,0.826524026883088,0.0367660864061389,0.796641706119907,0.857665792243298,0.0826889273837119,0.571459902573937,0.76437647675658,0.0019554941246003,0.0067894786863194,0.0332168799020563,0.168221175444494,0.420227733945617,0.996217677044312,0.67664115504854,0.0700798392060106,0.999207297401817,0.0563881487917375,0.60551930210769,0.722415984414728,0.0174444977892402,0.883499589155423,0.924147743460273,0.0161806258900769,0.890649578372005,0.932727586953465,0.0197817368857149,0.785385548239082,0.866052822808574,0.00672143098009977,0.0061391130849868,0.047455344146948,0.122063204144532,0.183569760318528,0.0760621333586479,0.412588754520208,0.821643482662486,0.00808691326389395,0.92876149483392,0.99915309616834,0.626320290897064,0.118114575591793,0.283548344510733
"ATP6AP2",-0.0809705334369896,0.00538540898349942,0.0204064761972797,-0.0771932601850258,0.0108301764603521,0.0454985130644141,-0.0853840472188336,0.017058533131798,0.0708937962950529,-0.0987286653262904,0.0105424960574449,0.0313436517400188,-0.113777029442484,0.00306138692606336,0.0366310883155279,-0.000276239864917115,0.247605126765727,0.4281851521027,-0.0540347020876219,0.315877932345982,0.996217677044312,0.0298620801687678,0.75541066438327,0.999207297401817,-0.0967515895412684,0.000972827118578406,0.00558720725731917,-0.0765325917179235,0.00709298925771681,0.026615925709782,-0.085709503859121,0.00365488202051626,0.0146434966665852,0.0137696221820331,0.482597692439959,0.617988932284896,0.00145834472348957,0.0280364445394124,0.142581283121781,0.0497761114262671,0.0946781262814541,-0.02836728235932,0.294201989312465,0.778932717908696,-0.00917892016220229,0.710085100913678,0.998800064188085,-0.217689042911343,0.0972379296651435,0.247253025102487
"IL18BP",0.252286379185994,0.00719594982220153,0.0256334986753999,0.133774153656982,0.168709211013914,0.304701448863915,0.144451301201406,0.0861356602976116,0.207915355879616,0.466517029616645,9.00306567807699e-05,0.000764765908698188,0.0832716873581217,0.190565713983957,0.414950132139715,0.000300273199789833,0.697315549523473,0.821684328935434,0.258940034610378,0.158981641123625,0.996217677044312,-0.00293353027788909,0.992831911072675,0.999207297401817,0.229420053892719,0.00742311245102426,0.026688678719264,0.251384326552196,0.00768244846766911,0.0278804350493344,0.254440949193013,0.00593627408259114,0.0217475823025732,0.177688807380218,0.00200156800361381,0.00991802606918892,0.00419810786440681,0.0323327022504833,0.15718980402279,0.282964846048146,0.358576763926585,-0.0106970852332381,0.904295798974481,0.97221231238842,0.0479577266589909,0.504543720939527,0.998800064188085,-0.532720943168134,0.173623293017827,0.370463961159212
"CD38",0.0839394337274388,0.258403639573043,0.387722482897624,0.12631766819539,0.136159035413647,0.264449583856154,0.0346003492662682,0.70042235958355,0.788102596736659,0.0934644812142562,0.306173387866781,0.424904899140074,0.0902830248547354,0.299664687196784,0.539955252221711,0.000111553432216095,0.83222755113692,0.90863262292209,-0.0161693569366796,0.904640507512012,0.996217677044312,0.0404752389535721,0.866361980791833,0.999207297401817,0.0952578208733584,0.169455274807132,0.282303722900675,0.0857599712441226,0.238391384323438,0.369490668172982,0.0851034122075416,0.244177585671377,0.36438083730497,-0.0896584632509653,0.0521268201075935,0.113549649383606,-0.00451925391290488,0.00382268348150344,0.0317734874322812,0.00393718236666479,0.0155277651501627,0.00049958558851337,0.993298082993783,0.994584738541702,0.0161004966420155,0.78200227062583,0.998800064188085,-0.984935554273447,0.000481202720481183,0.00375482060798865
"BDKRB2",-0.198476911725938,0.0222593118865069,0.0607866109004561,-0.247644950496315,0.00966246527018132,0.0419611553587088,-0.216699274176989,0.0241203611589229,0.0896396114223433,-0.0402785758548539,0.68398381384348,0.774113452563704,-0.0869258089062975,0.348254247905937,0.583949096814076,0.00124593205287984,0.0806701113945215,0.189537982091079,0.252885583955567,0.127143043932756,0.996217677044312,0.216634950806492,0.462033476110216,0.999207297401817,-0.170316510692487,0.0394494068672925,0.0952949734638034,-0.190587342941594,0.0253024437908916,0.0672123335063891,-0.203227600922606,0.0196574836037993,0.0544632072607056,-0.0264010107666981,0.627261253469574,0.729132254033053,0.000317909209804166,0.863365762545449,0.949333903908438,0.142484146853157,0.20820462290641,-0.0331191867840562,0.683446250737752,0.905446631872133,-0.0187869741344541,0.782945329062314,0.998800064188085,0.72354875860912,0.0586198038179136,0.167207041886521
"TMEM140",0.148464194162514,0.116014766320482,0.218730278940811,0.0122820447035307,0.899131823782548,0.949967494926674,0.096109483493593,0.353564028062871,0.510850455500185,0.415738230223639,4.62952836151687e-05,0.000483338961535254,0.188997913386619,0.012300059203176,0.0773003720654879,0.00271201008291168,8.61851683456538e-05,0.00160754744093427,0.212454488559282,0.251211606429457,0.996217677044312,-0.0426347433778581,0.896968501999118,0.999207297401817,0.158863119028079,0.0649718665550886,0.143906168616285,0.156480484111261,0.0907262635789401,0.180286379811107,0.14805939566359,0.111904441585371,0.211496658546434,-0.172939772819208,0.00229821708263768,0.0109661839807341,0.00413418861857556,0.0325938985115698,0.157469272184022,0.0803836365621416,0.133789012704798,-0.0739232302285972,0.3872354554268,0.811200561097334,0.0467513519916953,0.53731186766313,0.998800064188085,0.151611590650673,0.691998714912737,0.826761988605171
